param_values_upd_ind_20160509_124458.sqd,GOOD
port_activity_ins_ind_20160401_115200.sqd,GOOD
port_activity_ins_ind_20160411_185900.sqd,GOOD
refsynch_control_ins_ind_20160307_145700.sqd,GOOD
refsynch_control_ins_ind_20160311_151600.sqd,GOOD
refsynch_control_upd_ind_20160404_175100.sqd,GOOD
refsynch_control_upd_ind_20160404_180300.sqd,GOOD
refsynch_control_upd_ind_20160610_160000.sqd,GOOD
sbp_mp_codes_upd_ind_20160509_235620.sqd,GOOD
sbp_mp_codes_upd_ind_20160511_200513.sqd,GOOD
sub_class_rules_del_ind_20160408_010101.sqd,GOOD
sub_class_rules_ins_ind_20160408_010101.sqd,GOOD
tables_list_ins_ind_20160211_173400.sqd,GOOD
